config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_onnx,256,102,5.783875995710784,0.1398345396752454,5.671521446078431,6.136701363357844,1459.877,1611.4177000000002,1998.8490999999997
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_booster,2,2822,30.182416017009214,3.1336352763997155,29.696340715804396,35.92768781006379,57.608,86.1356499999998,121.52907
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_sklearn,256,50,11.225651171875,0.20803843750000084,11.052129296875,11.847771171875,2846.7355,3163.519249999997,3729.5134700000003
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_onnx,2,3000,13.0871775,2.1668811666666663,12.375755333333332,15.102090500000001,24.684,35.871050000000004,44.404159999999976
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_dmatrix,64,226,10.440944828539823,0.4008857162610635,10.127126244469027,11.473958241150441,649.421,789.24275,1053.9092
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_inplace,1,585,262.0304017094017,93.82905384615378,247.62115726495728,423.9026136752137,267.899,440.8302999999999,944.0689799999798
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_onnx,8,793,11.24881525851198,0.47151828499369586,10.847223360655738,11.989282471626733,85.686,100.26899999999998,129.81732000000005
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_onnx,16,867,11.147775879469435,0.8201097534602084,10.700793252595156,13.875789648212226,174.333,208.68019999999996,266.2313999999992
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_sklearn,32,104,42.768046875,9.328517578125002,30.17659224759615,46.501500300480764,1340.994,1514.4287499999994,2593.524569999998
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_sklearn,2,332,247.69323343373495,8.907457831325303,236.66255722891566,253.19101656626506,468.24300000000005,643.1756999999999,834.6561499999821
synthetic_f100_t100_th1,features,synthetic,100,100,1,xgb_sklearn,32,265,16.99165966981132,0.5387242334905693,16.65801886792453,19.354996933962266,530.204,652.9680999999994,1013.0117000000147
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_onnx,1024,22,6.596195978338068,0.09075563742897685,6.468711070667614,7.009480158025568,6682.0665,7367.40595,9389.31626
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_onnx,4096,5,6.586251171875,0.13797275390624986,6.488572998046875,7.053810498046875,26759.317,28847.365799999996,35027.11056
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_sklearn,256,149,5.006857146602349,1.6945824507130878,3.584205510696309,5.827532954068792,1010.233,2289.8181,3086.1400399999975
synthetic_f100_t100_th1,features,synthetic,100,100,1,cat_sklearn,1024,30,3.9350988606770834,1.1833022135416655,2.9862192708333333,4.596855436197917,3815.5505,5999.094050000001,7341.692269999996
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_booster,4,1535,29.345514657980456,2.920421986970684,27.17554348534202,34.94218175895765,110.78,148.3176,196.13743999999997
synthetic_f100_t100_th1,features,synthetic,100,100,1,lgb_sklearn,1024,11,9.23216202059659,0.17676029829545392,9.13541202059659,11.795881480823864,9436.259,12094.05,12665.1348
