config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_onnx,1,3000,54.157382,14.64494933333333,46.363738,75.03794866666667,50.5305,83.28244999999998,133.63549999999992
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_inplace,1024,7,22.091145089285714,0.6951817801339288,20.62188950892857,23.120151646205358,22478.378,26163.7056,30290.886199999997
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_dmatrix,128,36,32.593833116319445,2.7314651692708267,31.08600802951389,36.38102387152778,4042.2754999999997,5825.934499999999,7392.8067500000025
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,cat_sklearn,64,242,8.806182786673553,2.220569860537193,8.249701898243803,15.021998773243801,554.781,1151.01435,2281.277629999998
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,cat_sklearn,16384,10,0.9154625976562499,0.06267064819335944,0.8673723876953124,1.1489695556640624,14893.378499999999,17415.284099999997,27574.365719999983
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,xgb_onnx,16,300,29.306709166666668,2.5128850000000007,27.739455624999998,31.87916895833333,445.7245,644.6336,840.5369899999998
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_onnx,1,3000,49.21674933333333,4.389184500000006,43.71701633333333,60.66431933333333,44.167,76.89524999999999,123.43988999999938
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_booster,4096,5,39.32950009765625,10.800602026367187,31.022497607421876,44.52005307617188,158401.092,195116.6735,207653.33386
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,cat_sklearn,128,180,4.847974218749999,0.5583521050347233,4.624491753472222,5.890783029513889,604.511,742.1898,1304.8152200000002
online_shoppers_f17_t500_th1,trees,online_shoppers,17,500,1,lgb_onnx,1024,5,21.755337500000003,0.5568735351562495,21.1179455078125,24.051807812499998,21900.655,24855.1334,27625.326400000005
